,image,label
0,ArtDecor/ArtDecor_164_ed.jpg,ArtDecor
1,ArtDecor/[S1]ArtDecoPlus_083_j6.jpg,ArtDecor
2,ArtDecor/[S1][9997_]ArtDecor00003_r5.jpg,ArtDecor
3,ArtDecor/[S1]ArtDecoPlus_066_9x.jpg,ArtDecor
4,ArtDecor/[S1]ArtDecoPlus_059_hh.jpg,ArtDecor
5,ArtDecor/ArtDecor_046_vj.jpg,ArtDecor
6,ArtDecor/ArtDecor_265_ni.jpg,ArtDecor
7,ArtDecor/ArtDecor_088_of.jpg,ArtDecor
8,ArtDecor/ArtDecor_311_vl.jpg,ArtDecor
9,ArtDecor/[S1]ArtDecoPlus_038_pq.jpg,ArtDecor
10,ArtDecor/[S1]ArtDecoPlus_089_mn.jpg,ArtDecor
11,ArtDecor/[S1][9944_][9944_]image6-3_k6.png,ArtDecor
12,ArtDecor/ArtDecor_070_lv.jpg,ArtDecor
13,ArtDecor/ArtDecor_216_83.jpg,ArtDecor
14,ArtDecor/[S1]ArtDecoPlus_007_ts.jpg,ArtDecor
15,ArtDecor/ArtDecor_106_jn.jpg,ArtDecor
16,ArtDecor/[S1]ArtDecoPlus_043_90.jpg,ArtDecor
17,ArtDecor/[S1][9917_][9917_]image2-9_wb.jpg,ArtDecor
18,ArtDecor/ArtDecor_271_8x.jpg,ArtDecor
19,ArtDecor/ArtDecor_056_bh.jpg,ArtDecor
20,ArtDecor/ArtDecor_324_nx.jpg,ArtDecor
21,ArtDecor/ArtDecor_226_li.jpg,ArtDecor
22,ArtDecor/ArtDecor_157_eo.jpg,ArtDecor
23,ArtDecor/ArtDecor_261_zw.jpg,ArtDecor
24,ArtDecor/[S1][9997_][9997_]art-deco-interior-design_n4.jpg,ArtDecor
25,ArtDecor/ArtDecor_122_36.jpg,ArtDecor
26,ArtDecor/ArtDecor_233_38.jpg,ArtDecor
27,ArtDecor/ArtDecor_050_t8.jpg,ArtDecor
28,ArtDecor/ArtDecor_156_fi.jpg,ArtDecor
29,ArtDecor/ArtDecor_246_jj.jpg,ArtDecor
30,ArtDecor/ArtDecor_361_8o.jpg,ArtDecor
31,ArtDecor/ArtDecor_190_3y.jpg,ArtDecor
32,ArtDecor/ArtDecor_066_u3.jpg,ArtDecor
33,ArtDecor/ArtDecor_389_x3.jpg,ArtDecor
34,ArtDecor/2-Mobil-fresno_y7.jpg,ArtDecor
35,ArtDecor/ArtDecor_064_mm.jpg,ArtDecor
36,ArtDecor/[S1]ArtDecoPlus_030_j8.jpg,ArtDecor
37,ArtDecor/ArtDecor_478_71.jpg,ArtDecor
38,ArtDecor/ArtDecor_129_vx.jpg,ArtDecor
39,ArtDecor/ArtDecor_414_6t.jpg,ArtDecor
40,ArtDecor/ArtDecor_069_gb.jpg,ArtDecor
41,ArtDecor/ArtDecor_199_v2.jpg,ArtDecor
42,ArtDecor/ArtDecor_459_ab.jpg,ArtDecor
43,ArtDecor/ArtDecor_181_1r.jpg,ArtDecor
44,ArtDecor/ArtDecor_120_xt.jpg,ArtDecor
45,ArtDecor/[S1][9938_][9938_]mumbai-apartment-interio_qc.jpg,ArtDecor
46,ArtDecor/ArtDecor_010_e3.jpg,ArtDecor
47,ArtDecor/ArtDecor_339_4i.jpg,ArtDecor
48,ArtDecor/ArtDecor_053_cu.jpg,ArtDecor
49,ArtDecor/ArtDecor_326_en.jpg,ArtDecor
50,ArtDecor/ArtDecor_267_wi.jpg,ArtDecor
51,ArtDecor/ArtDecor_186_rf.jpg,ArtDecor
52,ArtDecor/ArtDecor_316_il.jpg,ArtDecor
53,ArtDecor/ArtDecor_016_52.jpg,ArtDecor
54,ArtDecor/ArtDecor_024_fo.jpg,ArtDecor
55,ArtDecor/ArtDecor_149_8d.jpg,ArtDecor
56,ArtDecor/ArtDecor_034_8q.jpg,ArtDecor
