,image,label
0,ArtDecor/ArtDecor_01307.jpg,ArtDecor
1,ArtDecor/ArtDecor_01555.jpg,ArtDecor
2,ArtDecor/ArtDecor_01100.jpg,ArtDecor
3,ArtDecor/ArtDecor_00698.jpg,ArtDecor
4,ArtDecor/ArtDecor_00899.jpg,ArtDecor
5,ArtDecor/ArtDecor_00237.jpg,ArtDecor
6,ArtDecor/ArtDecor_00375.jpg,ArtDecor
7,ArtDecor/ArtDecor_00579.jpg,ArtDecor
8,ArtDecor/ArtDecor_00223.jpg,ArtDecor
9,ArtDecor/ArtDecor_00112.jpg,ArtDecor
10,ArtDecor/ArtDecor_00412.jpg,ArtDecor
11,ArtDecor/ArtDecor_01068.jpg,ArtDecor
12,ArtDecor/ArtDecor_01591.jpg,ArtDecor
13,ArtDecor/ArtDecor_00670.jpg,ArtDecor
14,ArtDecor/ArtDecor_01482.jpg,ArtDecor
15,ArtDecor/ArtDecor_00088.jpg,ArtDecor
16,ArtDecor/ArtDecor_01381.jpg,ArtDecor
17,ArtDecor/ArtDecor_00350.jpg,ArtDecor
18,ArtDecor/ArtDecor_01246.jpg,ArtDecor
19,ArtDecor/ArtDecor_01327.jpg,ArtDecor
20,ArtDecor/ArtDecor_00297.jpg,ArtDecor
21,ArtDecor/ArtDecor_01542.jpg,ArtDecor
22,ArtDecor/ArtDecor_01404.png,ArtDecor
23,ArtDecor/ArtDecor_01627.jpg,ArtDecor
24,ArtDecor/ArtDecor_01371.jpg,ArtDecor
25,ArtDecor/ArtDecor_00086.jpg,ArtDecor
26,ArtDecor/ArtDecor_01637.jpg,ArtDecor
27,ArtDecor/ArtDecor_00207.jpg,ArtDecor
28,ArtDecor/ArtDecor_00987.jpg,ArtDecor
29,ArtDecor/ArtDecor_00930.jpg,ArtDecor
30,ArtDecor/ArtDecor_00932.jpg,ArtDecor
31,ArtDecor/ArtDecor_01635.jpg,ArtDecor
32,ArtDecor/ArtDecor_00586.jpg,ArtDecor
33,ArtDecor/ArtDecor_00622.jpg,ArtDecor
34,ArtDecor/ArtDecor_00316.jpg,ArtDecor
35,ArtDecor/ArtDecor_01184.jpg,ArtDecor
36,ArtDecor/ArtDecor_01516.jpg,ArtDecor
37,ArtDecor/ArtDecor_00356.jpg,ArtDecor
